spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,32,64,1.4358080079546198,696.4719478229891,178296.81864268522,8192,32768,32.0,8,20,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,32,128,1.19170849211514,839.1313870937679,214817.63509600458,16384,65536,64.0,8,12,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,32,256,1.065104006556794,938.8754467582387,240352.1143701091,32768,131072,128.0,8,8,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,64,16,2.377117983996868,420.67747866624927,107693.43453855981,4096,16384,16.0,4,40,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,64,32,2.16113799251616,462.719180109237,118456.11010796468,8192,32768,32.0,4,20,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,64,64,1.4280005125328898,700.2798607027586,179271.6443399062,16384,65536,64.0,4,10,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,64,128,1.0390405223006383,962.4263717701838,246381.15117316705,32768,131072,128.0,4,6,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,64,256,0.9648770064814016,1036.4015240104857,265318.79014668433,65536,262144,256.0,4,4,True
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,128,16,2.281159511767328,438.3735529416136,112223.62955305308,8192,32768,32.0,2,24,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,128,32,1.6253155044978485,615.2651575848693,157507.88034172653,16384,65536,64.0,2,12,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,128,64,1.340456001344137,746.0147882491137,190979.78579177312,32768,131072,128.0,2,6,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,128,128,1.16968501242809,854.931019355502,218862.34095500852,65536,262144,256.0,2,3,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,128,256,1.470037008402869,680.2549828908432,174145.27562005585,131072,524288,512.0,2,2,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,256,16,2.5340469874208793,394.6256738584738,101024.1725077693,16384,65536,64.0,1,16,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,256,32,1.976793006178923,505.86985935010347,129502.68399362649,32768,131072,128.0,1,8,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,256,64,1.69061501219403,591.5007218007781,151424.1847809992,65536,262144,256.0,1,4,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,256,128,1.8435474921716377,542.4324592918587,138862.70957871582,131072,524288,512.0,1,2,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,256,256,64,64,float32,cpu,1,256,256,2.221842485596426,450.0769098091859,115219.68891115159,262144,1048576,1024.0,1,1,False
causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,4,512,512,64,64,float32,cpu,1,16,16,21.186909012612887,47.198956648404206,24165.865803982953,1024,4096,4.0,32,528,False
