variant,spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,64,128,61.27922597806901,16.31874397953209,33420.78767008172,49152,196608,192.0,32,512,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,64,256,53.23382103233598,18.785050191917783,38471.78279304762,98304,393216,384.0,32,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,64,512,43.00641900044866,23.25234286513294,47620.79818779226,196608,786432,768.0,32,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,64,1024,43.03767698002048,23.235454842607634,47586.211517660435,393216,1572864,1536.0,32,64,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,64,2048,68.04979001753964,14.69512249401876,30095.61086775042,786432,3145728,3072.0,32,32,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,16,118.64425498060882,8.42855813088834,17261.687052059322,12288,49152,48.0,16,2048,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,32,79.55201051663607,12.570392545778311,25744.163933753982,24576,98304,96.0,16,1024,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,64,62.460414483211935,16.010140314851405,32788.76736481568,49152,196608,192.0,16,512,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,128,46.926898998208344,21.309739645020645,43642.34679300228,98304,393216,384.0,16,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,256,46.20550898835063,21.642440953353002,44323.71907246695,196608,786432,768.0,16,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,512,42.80551697593182,23.36147465669596,47844.30009691333,393216,1572864,1536.0,16,64,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,1024,54.74235650035553,18.267390443696108,37411.61562868963,786432,3145728,3072.0,16,32,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,128,2048,68.19970751530491,14.662819481675736,30029.45429847191,1572864,6291456,6144.0,16,16,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,16,95.13486549258232,10.511393428920863,21527.333742429928,24576,98304,96.0,8,1024,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,32,65.52535051014274,15.261268993062599,31255.078897792202,49152,196608,192.0,8,512,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,64,57.31315352022648,17.4480016990705,35733.50747969638,98304,393216,384.0,8,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,128,46.62059247493744,21.449748853740665,43929.08565246088,196608,786432,768.0,8,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,256,45.02380051417276,22.21047509494931,45487.052994456186,393216,1572864,1536.0,8,64,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,512,45.846740511478856,21.811801424566386,44670.56931751196,786432,3145728,3072.0,8,32,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,1024,55.64210150623694,17.972002726890352,36806.66158467144,1572864,6291456,6144.0,8,16,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,256,2048,61.37179399956949,16.29413016681596,33370.37858163909,3145728,12582912,12288.0,8,8,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,16,64.76362550165504,15.4407662056295,31622.689189129214,49152,196608,192.0,4,512,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,32,57.75410297792405,17.314787148235,35460.68407958528,98304,393216,384.0,4,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,64,46.852431987645105,21.343609233853602,43711.71171093218,196608,786432,768.0,4,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,128,44.46977097541094,22.487185745861808,46053.75640752498,393216,1572864,1536.0,4,64,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,256,41.70757849351503,23.976457903339718,49103.78578603974,786432,3145728,3072.0,4,32,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,512,48.53968898532912,20.601697722089753,42192.276934839814,1572864,6291456,6144.0,4,16,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,1024,73.27654998516664,13.646930705695477,27948.914085264336,3145728,12582912,12288.0,4,8,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,512,2048,64.49376800446771,15.505374099567675,31755.006155914598,6291456,25165824,24576.0,4,4,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,16,64.23540550167672,15.567738573299692,31882.72859811777,98304,393216,384.0,2,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,32,44.31913001462817,22.563619810901873,46210.293372727036,196608,786432,768.0,2,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,64,37.385180505225435,26.74856685151559,54781.06491190393,393216,1572864,1536.0,2,64,True
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,128,38.62666996428743,25.888848324863556,53020.36136932056,786432,3145728,3072.0,2,32,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,256,40.58414348401129,24.64016520131722,50463.05833229767,1572864,6291456,6144.0,2,16,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,512,41.48397198878229,24.105695574917725,49368.4645374315,3145728,12582912,12288.0,2,8,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,1024,54.05760751455091,18.498783908089642,37885.50944376759,6291456,25165824,24576.0,2,4,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,1024,2048,72.36383701092564,13.819057160402068,28301.429064503434,12582912,50331648,49152.0,2,2,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,16,71.59274449804798,13.967895867258806,28606.250736146034,196608,786432,768.0,1,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,32,42.87283500889316,23.324792955552596,47769.175972971716,393216,1572864,1536.0,1,64,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,64,45.89813848724589,21.787375979918632,44620.54600687336,786432,3145728,3072.0,1,32,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,128,39.874212961876765,25.07886490339226,51361.51532214735,1572864,6291456,6144.0,1,16,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,256,49.00868350523524,20.404547285853482,41788.51284142793,3145728,12582912,12288.0,1,8,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,512,53.704692516475916,18.62034681035019,38134.470267597186,6291456,25165824,24576.0,1,4,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,1024,63.854245003312826,15.660665942383611,32073.043850001635,12582912,50331648,49152.0,1,2,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,2048,2048,60.40034498437308,16.556196827331405,33907.09110237472,25165824,100663296,98304.0,1,1,False
