variant,spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,implementation,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,reference,,,60.03748797229491,16.656259843207682,34112.02015888933
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,fixed,64.0,64.0,82.6925945293624,12.092981308561084,24766.4257199331
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,tuned,1024.0,64.0,37.385180505225435,26.74856685151559,54781.06491190393
