variant,spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,64,256,24.8453764943406,40.24893727119752,41214.91176570626,131072,524288,512.0,16,40,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,64,512,20.16100348555483,49.60070567501715,50791.122611217565,262144,1048576,1024.0,16,24,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,64,1024,17.78524450492114,56.22638472714289,57575.81796059432,524288,2097152,2048.0,16,16,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,16,56.80493250838481,17.604105063453652,18026.60358497654,16384,65536,64.0,8,288,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,32,39.064031501766294,25.59899635435182,26213.372266856262,32768,131072,128.0,8,144,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,64,28.195169026730582,35.46706881068685,36318.27846214333,65536,262144,256.0,8,72,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,128,22.478953993413597,44.48605572541334,45553.72106282326,131072,524288,512.0,8,36,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,256,18.389980017673224,54.37743809612492,55682.49661043192,262144,1048576,1024.0,8,20,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,512,17.0880290097557,58.52049990253946,59924.99190020041,524288,2097152,2048.0,8,12,True
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,128,1024,22.016756993252784,45.41994991843977,46510.028716482324,1048576,4194304,4096.0,8,8,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,16,48.54336901917122,20.600135923921354,21094.539186095466,32768,131072,128.0,4,160,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,32,38.11081949970685,26.239267828068932,26869.010255942587,65536,262144,256.0,4,80,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,64,29.312472994206473,34.115170023274636,34933.93410383323,131072,524288,512.0,4,40,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,128,23.921483982121572,41.80342660795541,42806.70884654634,262144,1048576,1024.0,4,20,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,256,22.205012995982543,45.03487569140021,46115.712707993815,524288,2097152,2048.0,4,10,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,512,27.936848026001826,35.79501878913699,36654.09924007628,1048576,4194304,4096.0,4,6,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,256,1024,25.877721520373598,38.643278513245356,39570.717197563245,2097152,8388608,8192.0,4,4,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,16,56.26495002070442,17.773054088415954,18199.607386537937,65536,262144,256.0,2,96,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,32,40.19112847163342,24.88111277357619,25478.25948014202,131072,524288,512.0,2,48,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,64,29.416340519674122,33.99471118207868,34810.58425044857,262144,1048576,1024.0,2,24,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,128,24.56903547863476,40.70163848595523,41678.477809618154,524288,2097152,2048.0,2,12,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,256,27.84024298307486,35.91922673260927,36781.28817419189,1048576,4194304,4096.0,2,6,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,512,33.31256000092253,30.018707657781533,30739.15664156829,2097152,8388608,8192.0,2,3,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,512,1024,32.9268510104157,30.370350316332146,31099.238723924118,4194304,16777216,16384.0,2,2,False
